TimeStamp                   Altitude              Temperature
2009 01 16::02:36:42:444     223.62879009216036      -17.0
2009 01 16::02:36:42:741     373.5407199260126      -17.0
2009 01 16::02:36:42:991     556.4712078747204      -17.0
2009 01 16::02:36:43:241     920.2855042509798      -17.0
2009 01 16::02:36:43:491     1306.68898849413      -17.0
2009 01 16::02:36:43:741     1413.877835469306      -17.0
2009 01 16::02:36:43:991     1779.1768214457682      -17.0
2009 01 16::02:36:44:241     1919.521213880824      -17.0
2009 01 16::02:36:44:491     2334.03352716028      -17.0
2009 01 16::02:36:44:741     2925.7683722975685      -17.0
2009 01 16::02:36:44:991     3926.166322159331      -17.0
2009 01 16::02:36:45:241     4255.237342081538      -17.0
2009 01 16::02:36:45:491     4376.219712795595      -16.0
2009 01 16::02:36:45:741     4423.536352938374      -16.0
2009 01 16::02:36:45:991     4572.0227103952475      -16.0
2009 01 16::02:36:46:241     4652.071690539621      -16.0
2009 01 16::02:36:46:491     4720.916094058838      -16.0
2009 01 16::02:36:46:741     4803.848626861044      -16.0
2009 01 16::02:36:46:991     4811.262458680537      -16.0
2009 01 16::02:36:47:241     4949.569263720206      -16.0
2009 01 16::02:36:47:491     5180.082152315024      -16.0
2009 01 16::02:36:47:757     5284.612692543105      -15.0
2009 01 16::02:36:48:007     5484.895597104497      -15.0
2009 01 16::02:36:48:257     6327.714373026648      -15.0
2009 01 16::02:36:48:507     6675.9224342469815      -15.0
2009 01 16::02:36:48:757     6825.318578581288      -15.0
2009 01 16::02:36:49:007     7283.838311978958      -15.0
2009 01 16::02:36:49:257     7337.711343716109      -15.0
2009 01 16::02:36:49:507     7347.401225330566      -15.0
2009 01 16::02:36:49:757     7358.90242891482      -14.0
2009 01 16::02:36:50:007     7436.800783505152      -14.0
2009 01 16::02:36:50:257     8101.895963418419      -14.0
2009 01 16::02:36:50:507     8377.239832910233      -14.0
2009 01 16::02:36:50:757     8631.162279721231      -14.0
2009 01 16::02:36:51:007     8897.30152729214      -14.0
2009 01 16::02:36:51:257     8921.579317354825      -14.0
2009 01 16::02:36:51:507     9291.638131191768      -14.0
2009 01 16::02:36:51:757     9883.762246658722      -14.0
2009 01 16::02:36:52:007     10195.263766282886      -14.0
2009 01 16::02:36:52:257     11137.265956486784      -14.0
2009 01 16::02:36:52:507     11183.37051279684      -14.0
2009 01 16::02:36:52:757     11995.542268090265      -13.0
2009 01 16::02:36:53:007     12715.262868461796      -13.0
2009 01 16::02:36:53:257     12898.099151320044      -13.0
2009 01 16::02:36:53:507     13881.95733480237      -13.0
2009 01 16::02:36:53:757     14316.46776310483      -13.0
2009 01 16::02:36:54:007     14336.454269989386      -13.0
2009 01 16::02:36:54:257     14398.362713123668      -13.0
2009 01 16::02:36:54:507     14533.828017297612      -13.0
2009 01 16::02:36:54:757     14693.479548996947      -12.0
2009 01 16::02:36:55:007     14766.443437415066      -12.0
2009 01 16::02:36:55:257     15308.069289976229      -12.0
2009 01 16::02:36:55:507     15502.397224303635      -12.0
2009 01 16::02:36:55:757     15737.678134842132      -12.0
2009 01 16::02:36:56:023     15784.414079694281      -12.0
2009 01 16::02:36:56:273     16063.17885751416      -12.0
2009 01 16::02:36:56:523     16173.100044585115      -12.0
2009 01 16::02:36:56:773     16382.716631268577      -12.0
2009 01 16::02:36:57:023     16863.50365027178      -11.0
2009 01 16::02:36:57:273     17267.976375866092      -11.0
2009 01 16::02:36:57:523     18004.19857392946      -11.0
2009 01 16::02:36:57:773     18059.97498227307      -11.0
2009 01 16::02:36:58:023     18289.49945073456      -11.0
2009 01 16::02:36:58:273     18958.838790603997      -11.0
2009 01 16::02:36:58:523     19375.202339303774      -10.0
2009 01 16::02:36:58:773     20925.07463324853      -10.0
2009 01 16::02:36:59:023     21342.6587708562      -10.0
2009 01 16::02:36:59:273     21547.6378693123      -10.0
2009 01 16::02:36:59:523     22179.706562954132      -10.0
2009 01 16::02:36:59:773     22307.669369774343      -10.0
2009 01 16::02:37:00:023     22721.924956584917      -10.0
2009 01 16::02:37:00:273     22855.37544131127      -10.0
2009 01 16::02:37:00:523     23246.656758545356      -10.0
2009 01 16::02:37:00:773     23281.601984755056      -10.0
2009 01 16::02:37:01:023     23326.129512522977      -10.0
2009 01 16::02:37:01:273     23466.62997107721      -10.0
2009 01 16::02:37:01:523     23581.3632439263      -10.0
2009 01 16::02:37:01:773     23681.345510838306      -9.0
2009 01 16::02:37:02:023     23823.999788522837      -9.0
2009 01 16::02:37:02:273     23975.38865215803      -9.0
2009 01 16::02:37:02:523     24039.01551704916      -9.0
2009 01 16::02:37:02:773     24244.850543384593      -9.0
2009 01 16::02:37:03:023     24983.642252816266      -9.0
2009 01 16::02:37:03:273     26682.620071016212      -9.0
2009 01 16::02:37:03:523     27207.73606879465      -9.0
2009 01 16::02:37:03:773     27248.096940617      -9.0
2009 01 16::02:37:04:023     27509.16911668505      -9.0
2009 01 16::02:37:04:273     27792.72288031374      -9.0
2009 01 16::02:37:04:538     28210.629057061375      -8.0
2009 01 16::02:37:04:788     28247.046654308848      -8.0
2009 01 16::02:37:05:038     28357.604707449354      -8.0
2009 01 16::02:37:05:288     28498.460921810503      -8.0
2009 01 16::02:37:05:538     28648.713807533608      -8.0
2009 01 16::02:37:05:788     29101.135860292947      -8.0
2009 01 16::02:37:06:038     29282.36088297721      -7.0
2009 01 16::02:37:06:288     29367.352677447154      -7.0
2009 01 16::02:37:06:538     29820.180161799522      -7.0
2009 01 16::02:37:06:788     30010.93067596306      -7.0
2009 01 16::02:37:07:038     30167.380391944895      -7.0
2009 01 16::02:37:07:288     30307.4755273712      -6.0
